base,exchange_count,ace,ascendex,bequant,bigone,binance,binanceus,bingx,bit2c,bitbank,bitbay,bitbns,bitcoincom,bitfinex,bitfinex2,bitflyer,bitget,bitmart,bitmex,bitopro,bitrue,bitso,bitstamp,bitvavo,bl3p,btcalpha,btcbox,btcmarkets,btcturk,bybit,cex,coinbaseprime,coinbasepro,coincheck,coinex,coinlist,coinmate,coinone,coinsph,coinspot,cryptocom,currencycom,delta,deribit,digifinex,exmo,fmfwio,gate,gateio,gemini,hitbtc,hitbtc3,hollaex,htx,huobi,huobijp,independentreserve,indodax,kraken,kucoin,kuna,latoken,lbank,luno,lykke,mercado,mexc,ndax,novadax,oceanex,okcoin,okx,p2b,paymium,phemex,poloniex,probit,timex,tokocrypto,upbit,wavesexchange,wazirx,whitebit,woo,yobit,zaif,zonda
MOODENG,21,,X,,,,,,,,,,,,,,X,X,,,X,,,X,,,,,,,,,,,X,,,,X,,X,,,,,,,X,X,,,,,X,X,,,X,,X,,,X,,,X,X,,X,,,,,,X,X,,,,,,,,X,,,
PYUSD,20,,,,,,,X,,,,,,,,,X,X,,,,,X,,,,,,,X,,X,X,,,,,,X,,X,,,,,,,X,X,,X,X,,X,X,,,,X,X,,X,,,,X,,,,,,X,,,,,,,,,,,,,,,
VELO,20,,,,,,,,,,,,,,,,X,X,,,,,,X,,,,,,X,X,X,X,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,X,,X,,,X,,,,X,,,,,X,,,,X,,,X,,,,,,,,
TOKEN,20,,,,,,,X,,,,,,X,X,,,X,,,X,,,X,,,,,,X,,,,,X,,,,X,,,,,,,,,X,X,,,,,,,,,X,,X,,,X,,,,X,,X,,,,,,X,,,,,,,X,,X,X,,
VOLT,20,,X,,X,,,X,,,,,,,,,X,X,,,X,,,,,X,,,,,,,,,X,,,X,,,,,,,,,,X,X,,,,,X,X,,,X,,X,,X,,,,,X,,X,,,,,,,X,,,,,,,,,X,,
COQ,20,,,,,,,X,,,,,,X,X,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,,,X,,X,,,,,X,,X,,,,,,,X,,,,,,,,,,,
XYO,20,,,,,,,X,,,,,X,,,,,,,,X,,,X,,,,,,,,X,X,,X,,,,,,X,,,,,,X,X,X,,X,X,,X,X,,,,,X,,X,,,,,,,,,,,,,X,,X,,,,,,,,X,,
EURT,20,,,,X,,,X,,,,X,,X,X,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,X,X,,X,X,,,X,X,,,X,,,,,,,,,,,,,,,X,,,,,,X,,,,
AIOZ,20,,,,,,,X,,,,,,X,X,,,,,,X,,,X,,,,,X,X,,X,X,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,X,,X,,X,,,,X,,,,,,,,,,,,,,,,,,X,,,
MANEKI,20,,X,,,,,X,,,,,,X,X,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,,X,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
BONE,20,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,X,,,,X,X,,,,X,,X,,,X,,,,X,X,,,,,,,,,,
BABYDOGE,20,,,,X,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,X,,X,X,,,,X,,X,,,X,,,,X,X,,,,,,,,,,
XYM,20,,,X,,,,X,,X,,,X,,,,,,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,X,X,X,,X,X,,,,X,,,,X,,X,,,,,X,,,,,,,,,X,X,,,,,,,,X,X,
SUNDOG,19,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,X,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
SATS,19,,X,,X,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,X,,,,X,,,,,,,,,,,
USDD,19,,X,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,X,X,,X,X,,,,,X,,X,X,,,X,,,,,,,,,X,X,X,,,,,,,,,,
LADYS,19,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,X,,X,,X,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
CSPR,19,,X,,,,,X,,,,,,,,,X,X,,,X,,X,X,,,,,,X,,,,,X,X,,,,,X,,,,,,,X,X,,,,,X,X,,,,,X,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,
RLY,19,,,,,,,X,,,,,,X,X,,,,,,X,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,X,X,X,X,X,,X,X,,,,,,,X,,,,X,X,,,,,,,,X,,,,,X,,,,,,,
SWEAT,19,,X,,,,,X,,,,,,X,X,,X,X,,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,X,,,,,X,,,X,,,,,,,,,,,,
RATS,19,,X,,X,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
GODS,19,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,X,,X,X,,X,X,,,,,X,,,,,,,,,,X,X,,X,X,,,,,X,,,,,,X,X,,,,,X,,,X,X,,,,,,,,,,,
PRCL,19,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,,,,X,X,,X,,,X,,,X,,,,,,,,,,,,
CORE,19,,,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,,,,,,,X,,,X,X,,X,X,,X,X,,,,,,,,X,,,,X,,,,,X,,,X,X,,,,,,,,,,,
CEL,18,,,,,,,X,,,,,X,,,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,X,X,X,,X,X,,X,X,,,X,,,,X,,,,,X,,,,,,,,X,X,,,,,,,,,,,
ORCA,18,,,,,,,X,,,,,,,,,,X,,,X,,,X,,,,,,,,X,X,,X,,,X,,,X,,,,,,,X,X,,X,X,,,,,,,X,X,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,
