title,link,published,description,author,category,guid
For Sale - The Line Phahon-Pradipat : The Line พหลฯ-ประดิพัทธ์,http://www.ddproperty.com/property/-ขาย-11404894,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 9,390,000 บาท,
       52 sqft / 4.83 sqm (built-up)        - Condo,
       21 ประดิพัทธิ์ (TH1014)",,Condo For Sale,
For Sale - Condo One Ladprao Station : คอนโด วัน ลาดพร้าว สเตชั่น,http://www.ddproperty.com/property/-ขาย-11404861,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 3,500,000 บาท,
       46 sqft / 4.30 sqm (built-up)        - Condo,
       18 ลาดพร้าว (TH1030)",,Condo For Sale,
For Sale - The Line Jatujak-Mochit,http://www.ddproperty.com/property/-ขาย-11404792,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 6,600,000 บาท,
       34 sqft / 3.16 sqm (built-up)        - Condo,
        ถนนพหลโยธิน (TH1030)",,Condo For Sale,
For Sale - The Line Phahon-Pradipat : The Line พหลฯ-ประดิพัทธ์,http://www.ddproperty.com/property/-ขาย-11404748,"Fri, 01 Nov 2024 21:25:00 +0700","฿ 12,497,500,
       66 sqft / 6.09 sqm (built-up)        - Condo,
       21 ประดิพัทธิ์ (TH1014)",,Condo For Sale,
For Sale - Kawa Haus,http://www.ddproperty.com/property/-ขาย-11405438,"Fri, 01 Nov 2024 21:24:43 +0700","฿ 4,290,000,
       34 sqft / 3.20 sqm (built-up)        - Condo,
       95 ซอย ริมคลอง (TH1039)",,Condo For Sale,
For Sale - The Address Sathorn : ดิ แอดเดรส สาทร,http://www.ddproperty.com/property/-ขาย-11586565,"Fri, 01 Nov 2024 20:57:43 +0700","฿ 7,450,000 บาท,
       56 sqft / 5.20 sqm (built-up)        - Condo,
       98 ถนนสาทรเหนือ ซอยสาทร 12 แขวงสีลม เขตบางรัก กรุงเทพมหานคร (TH1004)",,Condo For Sale,
For Sale - Crystal Garden Condominium : คริสตัล การ์เด้น,http://www.ddproperty.com/property/-ขาย-11586593,"Fri, 01 Nov 2024 20:57:42 +0700","฿ 65,000,000 บาท,
       300 sqft / 27.87 sqm (built-up)        - Condo,
       217 ถนนสุขุมวิท ซอย 4 (TH1033)",,Condo For Sale,
For Sale - Royce Private Residences : รอย์ช ไพรเวท เรสซิเดนซ์ส,http://www.ddproperty.com/property/-ขาย-11596358,"Fri, 01 Nov 2024 20:25:35 +0700","฿ 19,900,000 บาท,
       111 sqft / 10.31 sqm (built-up)        - Condo,
       61 ซอยสุขุมวิท 31 (TH1039)",,Condo For Sale,
For Sale - Vtara Sukhumvit 36,http://www.ddproperty.com/property/-ขาย-11596338,"Fri, 01 Nov 2024 20:25:35 +0700","฿ 7,500,000 บาท,
       65 sqft / 6.04 sqm (built-up)        - Condo,
       118 ซอยแสนสบาย (TH1033)",,Condo For Sale,
For Sale - Supalai Lite Sathorn-Charoenrat : ศุภาลัย ไลท์ สาทร-เจริญราษฎร์,http://www.ddproperty.com/property/-ขาย-11569899,"Fri, 01 Nov 2024 20:23:00 +0700","฿ 7,400,000 บาท,
       85 sqft / 7.90 sqm (built-up)        - Condo,
       29 ถนนเจริญราษฎร์ (TH1031)",,Condo For Sale,
