,date,symbol,TotalBalance
469,2020-03-06,ETCUSDT,11063.927497350101
470,2020-03-06,LINKUSDT,10741.332694055971
471,2020-03-06,LTCUSDT,10564.970334771991
472,2020-03-06,TRXUSDT,10340.848147461984
473,2020-03-06,VETUSDT,10673.026136748022
474,2020-03-06,XRPUSDT,11658.496560621968
475,2020-03-06,XTZUSDT,11071.935043879994
476,2020-03-06,ZECUSDT,10524.45642792999
477,2020-03-07,ADAUSDT,10115.077206943997
478,2020-03-07,ATOMUSDT,10842.541606842002
479,2020-03-07,BNBUSDT,10055.837178544012
480,2020-03-07,EOSUSDT,10338.20860759999
481,2020-03-07,ETCUSDT,11068.367818608098
482,2020-03-07,LINKUSDT,10741.27362765397
483,2020-03-07,LTCUSDT,10567.014179545991
484,2020-03-07,TRXUSDT,10342.636296621984
485,2020-03-07,VETUSDT,10705.188673696222
486,2020-03-07,XRPUSDT,11660.110344117968
487,2020-03-07,XTZUSDT,11077.433979519994
488,2020-03-07,ZECUSDT,10524.43388171399
489,2020-03-08,ADAUSDT,10115.030491069998
490,2020-03-08,ATOMUSDT,10842.509081978002
491,2020-03-08,BNBUSDT,10060.273772440014
492,2020-03-08,EOSUSDT,10339.65696508598
493,2020-03-08,ETCUSDT,11143.887144616092
494,2020-03-08,LINKUSDT,10827.338904709975
495,2020-03-08,LTCUSDT,10667.13789709199
496,2020-03-08,TRXUSDT,10342.379211073983
497,2020-03-08,VETUSDT,10810.357070705226
498,2020-03-08,XRPUSDT,11659.757060859967
499,2020-03-08,XTZUSDT,11238.586234759992
500,2020-03-08,ZECUSDT,10524.38878885799
501,2020-03-09,ADAUSDT,10098.685974327964
502,2020-03-09,ATOMUSDT,10777.77573233722
503,2020-03-09,BNBUSDT,10068.04211549202
504,2020-03-09,EOSUSDT,10339.13390552598
505,2020-03-09,ETCUSDT,11180.176076566098
506,2020-03-09,LINKUSDT,10925.718815797984
507,2020-03-09,LTCUSDT,10697.565136091995
508,2020-03-09,TRXUSDT,10335.489515393596
509,2020-03-09,VETUSDT,10909.90823314282
510,2020-03-09,XRPUSDT,11424.887836848653
511,2020-03-09,XTZUSDT,11427.899373119993
512,2020-03-09,ZECUSDT,10521.840456027101
513,2020-03-10,ADAUSDT,10073.087062736753
514,2020-03-10,ATOMUSDT,10611.788410025021
515,2020-03-10,BNBUSDT,10070.42867403603
516,2020-03-10,EOSUSDT,10387.07571725999
517,2020-03-10,ETCUSDT,11186.510190170098
518,2020-03-10,LINKUSDT,10940.32479986598
519,2020-03-10,LTCUSDT,10699.672184171992
520,2020-03-10,TRXUSDT,10327.795485552908
521,2020-03-10,VETUSDT,10920.765668330623
522,2020-03-10,XRPUSDT,10125.238305507964
523,2020-03-10,XTZUSDT,11430.597411119996
524,2020-03-10,ZECUSDT,10521.458169150499
525,2020-03-11,ADAUSDT,9923.186768583997
526,2020-03-11,ATOMUSDT,10536.132937369048
527,2020-03-11,BNBUSDT,10073.374054428024
528,2020-03-11,EOSUSDT,10391.96193077999
529,2020-03-11,ETCUSDT,11210.3408158181
530,2020-03-11,LINKUSDT,11000.883873605984
531,2020-03-11,LTCUSDT,10714.178149939993
532,2020-03-11,TRXUSDT,10318.570553867214
533,2020-03-11,VETUSDT,10999.644527453618
534,2020-03-11,XRPUSDT,10145.794708983964
535,2020-03-11,XTZUSDT,11479.543820779998
536,2020-03-11,ZECUSDT,10521.069933463898
537,2020-03-12,ADAUSDT,9923.174989663998
538,2020-03-12,BNBUSDT,10074.025136394022
539,2020-03-12,EOSUSDT,10607.430689459987
540,2020-03-12,ETCUSDT,11836.23615790209
541,2020-03-12,LINKUSDT,13251.325739156004
542,2020-03-12,LTCUSDT,11064.643374595991
543,2020-03-12,TRXUSDT,10306.78900927448
544,2020-03-12,VETUSDT,11065.15258428342
545,2020-03-12,XRPUSDT,10238.518927913961
546,2020-03-12,XTZUSDT,11717.921861780002
547,2020-03-12,ZECUSDT,10519.554406836045
548,2020-03-13,ADAUSDT,9853.527972030792
549,2020-03-13,ATOMUSDT,10497.229015186027
550,2020-03-13,BNBUSDT,9951.2735468645
551,2020-03-13,EOSUSDT,10819.73319028
552,2020-03-13,ETCUSDT,12195.139556724092
553,2020-03-13,LINKUSDT,14231.793610748016
554,2020-03-13,LTCUSDT,11286.307793783979
555,2020-03-13,TRXUSDT,10208.59229759476
556,2020-03-13,VETUSDT,10796.211414270041
557,2020-03-13,XRPUSDT,9729.712189998616
558,2020-03-13,XTZUSDT,0.01
