date,1INCHUSDT,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,HNTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,RENUSDT,ROSEUSDT,RSRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-02-15,,,,,,,10090.207150848011,,,,10052.326940607993,,,,,,,,,,,7397.482720452297,10306.007780735932,,,,,,,,,,,10370.097172866019,,,,,,,,,,,,,,,,10607.692655924022,,,10233.726237358009,10479.33621308,10041.62518349,,
2020-02-16,,,,,,,10094.779404204015,,,,10070.18150517398,,,,,,,,,,,7271.075156379668,10312.44186409994,,,,,,,,,,,10377.198699792018,,,,,,,,,,,,,,,,10612.236258194023,,,10243.680585882008,10482.492319,10053.019600575997,,
2020-02-17,,,,,,,10108.329081012014,,,,10089.08226978198,,,,,,,,,,,7239.712045077241,10326.682049963933,,,,,,,,,,,10386.701801964018,,,,,,,,,,,,,,,,10618.205500834018,,,10254.533780352012,10526.809470880005,10069.229924104004,,
2020-02-18,,,,,,,10113.497054006677,,,,10099.607195087978,,,,,,,,,,,7196.490099837884,10332.94151394393,,,,,,,,,,,10400.34868716002,,,,,,,,,,,,,,,,10654.525768258023,,,10258.608901196012,10645.639770060003,10091.676883479999,,
2020-02-19,,,,,,,10169.088031868016,,,,10107.132540279987,,,,,,,,,,,7196.557092020004,10340.835489555926,,,,,,,,,,,10423.170054892023,,,,,,,,,,,,,,,,10662.579524162027,,,10275.912767352012,10746.663605159998,10115.702875230003,,
2020-02-20,,,,,,,10183.100389031064,,,,10111.611188209989,,,,,,,,,,,7196.997353680004,10349.419795895923,,,,,,,,,,,10424.752486866022,,,,,,,,,,,,,,,,10663.458898192028,,,10281.17433852801,10805.012722239991,10127.307425850004,,
2020-02-21,,,,,,,10263.511355602019,,,,10124.231858043982,,,,,,,,,,,7206.609516800004,10356.821601857926,,,,,,,,,,,10434.125799036025,,,,,,,,,,,,,,,,10669.739798672028,,,10283.207563318007,10835.715519059986,10132.427285570007,,
2020-02-22,,,,,,,10315.582537284019,,,,10127.363149845984,,,,,,,,,,,7211.440127140005,10362.871360809926,,,,,,,,,,,10447.415185678024,,,,,,,,,,,,,,,,10672.348538574028,,,10283.186795384006,10904.226460519983,10133.530679948006,,
2020-02-23,,,,,,,10322.354909618021,,,,10127.283490301983,,,,,,,,,,,7211.4085390800055,10364.448046245929,,,,,,,,,,,10456.890375674024,,,,,,,,,,,,,,,,10703.158933700028,,,10283.176456328007,10936.910590399984,10133.510376124006,,
2020-02-24,,,,,,,10328.916955288018,,,,10134.432918789984,,,,,,,,,,,7234.881875360009,10371.845989941934,,,,,,,,,,,10466.471344460024,,,,,,,,,,,,,,,,10705.097968764028,,,10286.593770102007,10941.967653839982,10140.155716182006,,
2020-02-25,,,,,,,10332.576211832016,,,,10139.433988891984,,,,,,,,,,,7254.13863638001,10375.16999578994,,,,,,,,,,,10476.943907498024,,,,,,,,,,,,,,,,10705.999365560028,,,10288.614895672006,10950.385514459982,10145.668583628005,,
2020-02-26,,,,,,,10339.100358934016,,,,10156.59074337999,,,,,,,,,,,7255.02299364001,10384.304312253938,,,,,,,,,,,10477.354180438024,,,,,,,,,,,,,,,,10705.999365560028,,,10298.94110630801,11028.020055879984,10162.24965397001,,
