date,ALGOUSDT,APEUSDT,AVAXUSDT,CHZUSDT,COMPUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MATICUSDT,RNDRUSDT,SANDUSDT,SNXUSDT,SUSHIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT
2020-05-18,,,,,,12421.209245460024,12297.656769492009,,,,,,,11317.886415044035,,,,,,,10928.745933974027,12748.076538600108
2020-05-19,,,,,,12423.834817300025,12300.72616523001,,,,,,,11323.558827594037,,,,,,,10928.745933974027,12750.618907860107
2020-05-20,,,,,,12425.157152020025,12302.76394197201,,,,,,,11326.477657718036,,,,,,,10929.630650324028,12776.195008900107
2020-05-21,,,,,,12429.002057900027,12304.807406052008,,,,,,,11328.742371280037,,,,,,,10931.79534656603,12783.29132222011
2020-05-22,,,,,,12428.971898940026,12316.559765236008,,,,,,,11329.183898272036,,,,,,,10931.76237806803,12818.52889436011
2020-05-23,,,,,,12447.814889420028,12320.64487915801,,,,,,,11329.183898272036,,,,,,,10931.76237806803,12819.79960492011
2020-05-24,,,,,,12450.420017840028,12325.15204535001,,,,,,,11332.906367520034,,,,,,,10936.512923200027,12824.918618640113
2020-05-25,,,,,,12450.389823600028,12330.69960010401,,,,,,,11335.030058690032,,,,,,,10936.944039204029,12824.902129800113
2020-05-26,,,,,,12453.012996220026,12334.80936520801,,,,,,,11336.678024794035,,,,,,,10938.250819870029,12828.302037200116
2020-05-27,,,,,,12452.939443240026,12334.80936520801,,,,,,,11336.630536982035,,,,,,,10938.22887329203,12828.269005160115
2020-05-28,,,,,,12452.833845160027,12334.80936520801,,,,,,,11336.133130418035,,,,,,,10938.22887329203,12828.252433160114
2020-05-29,,,,,,12452.576044360027,12347.57460147201,,,,,,,11336.133130418035,,,,,,,10940.82547191603,12851.664469000112
2020-05-30,,,,,,12451.943889540027,12351.045086974009,,,,,,,11336.133130418035,,,,,,,10941.24777924403,12857.509629900107
2020-05-31,,,,,,12549.56252076003,12355.15009386201,,,,,,,11336.133130418035,,,,,,,10950.320029748027,12863.85036532011
2020-06-01,,,,,,12552.15801588003,12356.18528711001,,,,,,,11334.410801966034,,,,,,,10950.298045722027,12869.52499782011
2020-06-02,,,,,,12570.694389720029,12359.66090120201,,,,,,,11359.707730866035,,,,,,,10956.193496212027,12896.51840790011
2020-06-03,,,,,,12570.663879240028,12363.771945608012,,,,,,,11360.583098026038,,,,,,,10956.193496212027,12897.81491010011
2020-06-04,,,,,,12575.20615012003,12365.832293146013,,,,,,,11367.061073066037,,,,,,,10957.500345710027,12919.626428240112
2020-06-05,,,,,,12575.131907620029,12369.937011120015,,,,,,,11371.889550316037,,,,,,,10958.394354256026,12921.550233800112
2020-06-06,,,,,,12593.770581760029,12370.955034600014,,,,,,,11373.818905074035,,,,,,,10958.394354256026,12921.550233800112
2020-06-07,,,,,,12596.38886040003,12371.978551340015,,,,,,,11375.599197520034,,,,,,,10959.279122652028,12924.751267360109
2020-06-08,,,,,,12596.38886040003,12371.978551340015,,,,,,,11378.547008294034,,,,,,,10959.257101672027,12924.701344740108
2020-06-09,,,,,,12599.037135920029,12371.978551340015,,,,,,,11381.902094038029,,,,,,,10960.174778594026,12928.722084420107
2020-06-10,,,,,,12600.376241520027,12371.978551340015,,,,,,,11385.392280396027,,,,,,,10960.174778594026,12929.349058880107
2020-06-11,,,,,,12601.707883700026,12372.996109466016,,,,,,,11387.606817652031,,,,,,,10963.21304770203,12934.483858900106
2020-06-12,,,,,,12601.677308900027,12372.966514544016,,,,,,,11390.541915790029,,,,,,,10963.166059308029,12940.354588300108
2020-06-13,,,,,,12601.677308900027,12372.966514544016,,,,,,,11391.52847270203,,,,,,,10963.166059308029,12940.304449060108
2020-06-14,,,,,,12604.332295980028,12374.013994994015,,,,,,,11392.673210638028,,,,,,,10965.92914946803,12944.170719540109
2020-06-15,,,,,,12605.653666600027,12375.039067856014,,,,,,,11399.506874218032,,,,,,,10967.694204436028,12976.092311120106
2020-06-16,,,,,,12605.579212200028,12375.039067856014,,,,,,,11400.94403577403,,,,,,,10967.694204436028,12977.367755340108
2020-06-17,10003.965233932,,,,,12614.807666600027,12378.542533818014,,,,,,,11406.469010536031,,,,,,,10976.807746234026,12981.833838140106
2020-06-18,10003.965233932,,,,,12617.461859740026,12379.572803258014,,,,,,,11407.68100708603,,,,,,,10976.807746234026,13015.781149260109
2020-06-19,10022.717771932,,,,,12618.794659780026,12379.471578368013,,,,,,,11409.327846660031,,,,,,,10977.251428114027,13019.634642040108
2020-06-20,10030.75519222,,,,,12621.476484880026,12383.078354930012,,,,,,,11410.505240916033,,,,,,,10977.699426346026,13020.91824162011
2020-06-21,10045.531461434,,,,,12621.476484880026,12384.10906892601,,,,,,,11411.238552696032,,,,,,,10977.699426346026,13020.91824162011
2020-06-22,10045.531461434,,,,,12621.294717340026,12384.10906892601,,,,,,,11411.190749546031,,,,,,,10977.677387506026,13020.867824220111
2020-06-23,10045.370562848,,,,,12621.294717340026,12384.007806554011,,,,,,,11411.190749546031,,,,,,,10977.677387506026,13026.64386124011
2020-06-24,10100.633781842,,,,,12629.321691220026,12387.616245974012,,,,,,,11415.939723020034,,,,,,,10979.420983968022,13051.10451364011
2020-06-25,10108.682537614,,,,,12630.670573200026,12388.651075478012,,,,,,,11417.803585116037,,,,,,,10980.291828104024,13056.45715956011
2020-06-26,10120.783600640003,,,,,12635.129830340027,12393.811549074011,,,,,,,11422.040124888037,,,,,,,10981.635115988021,13061.672750260108
2020-06-27,10124.778692780004,,,,,12636.443805340026,12395.872509716011,,,,,,,11424.128536048034,,,,,,,10984.342865296021,13068.508386840105
2020-06-28,10124.734823526005,,,,,12636.413119660026,12399.358188440012,,,,,,,11427.177971358034,,,,,,,10984.295751172021,13075.730425560103
2020-06-29,10124.616520526006,,,,,12637.756108660027,12399.328527170012,,,,,,,11427.871630522033,,,,,,,10984.295751172021,13077.664804640102
2020-06-30,10124.616520526006,,,,,12641.036203300026,12401.406755224012,,,,,,,11432.141737890037,,,,,,,10984.295751172021,13080.265357580101
2020-07-01,10124.616520526006,,,,,12641.036203300026,12404.489428728013,,,,,,,11432.093841682037,,,,,,,10986.994095244021,13083.650101100102
2020-07-02,10139.737214234006,,,,,12642.346395560025,12405.522304728014,,,,,,,11434.80691521804,,,,,,,10987.90001454802,13088.1937382001
2020-07-03,10139.693283410006,,,,10005.137501795998,12642.271699360026,12406.542692282015,,,,,,,11435.78521354004,,,,,,,10987.87794588802,13089.464807180098
2020-07-04,10139.574797394007,,,,10019.214827221998,12661.269648120026,12406.542692282015,,,,,,,11438.360745806038,,,,,,,10987.86685504802,13089.431075240098
2020-07-05,10139.574797394007,,,,10066.401726328,12665.266035760027,12409.607113684015,,,,,,,11439.508328060037,,,,,,,10989.24203716002,13092.751277240097
2020-07-06,10139.132554878008,,,,10071.577925289997,12665.191219760027,12409.505653940016,,,,,,,11439.346932740038,,,,,,,10989.219986452019,13092.700632680097
2020-07-07,10139.132554878008,,,,10076.761148007996,12710.277639860029,12472.897590360013,,,,,,,11439.346932740038,,,,,,,10996.916828310019,13160.788507860098
2020-07-08,10137.709388910007,,,,10079.354281787995,12710.20250250003,12472.867748760013,,,,,,,11439.346932740038,,,,,,,10996.89472273002,13175.725230900098
2020-07-09,10131.672882027216,,,,10084.539819505995,12729.32908856003,12489.341470618008,,,,,,,11439.346932740038,,,,,,,11022.933303498019,13189.304729840094
2020-07-10,10246.25738432801,,,,10087.133275029995,12732.033259360029,12494.513693176006,,,,,,,11439.346932740038,,,,,,,11023.785265378017,13199.529973460092
2020-07-11,10245.64642333201,,,,10093.185496011994,12732.033259360029,12494.513693176006,,,,,,,11439.346932740038,,,,,,,11025.623181614017,13220.159919180092
2020-07-12,10362.44146899401,,,,10093.185496011994,12734.64026818003,12494.513693176006,,,,,,,11439.346932740038,,,,,,,11026.531781148016,13230.215162780089
2020-07-13,10377.61321355401,,,,10098.380416133996,12735.95179360003,12495.554394090008,,,,,,,11447.977962146038,,,,,,,11028.312247138016,13356.486141660098
2020-07-14,10377.56824911401,,,,10098.351879783995,12737.28867616003,12496.596080946008,,,,,,,11449.908712908036,,,,,,,11028.312247138016,13390.381846840095
2020-07-15,10392.970081800011,,,,10100.979424543995,12738.63012716003,12497.63820292601,,,,,,,11451.561461742036,,,,,,,11028.312247138016,13425.220680400093
2020-07-16,10515.280649132013,,,,10114.365716417995,12739.97844518003,12500.75361208201,,,,,,,11452.909550572036,,,,,,,11030.061098446015,13503.747740400086
2020-07-17,10499.00375995236,,,,10114.337132213996,12739.97844518003,12501.78346961801,,,,,,,11453.908926442036,,,,,,,11030.027847748015,13513.116628780086
2020-07-18,10487.607880416654,,,,10131.190574211994,12739.97844518003,12502.815070258011,,,,,,,11453.860930910036,,,,,,,11030.013817342015,13522.646375840088
2020-07-19,10474.317486254595,,,,10136.412708427995,12739.903229340029,12503.848870018011,,,,,,,11454.905818518035,,,,,,,11033.955936086015,13526.682020800086
2020-07-20,10450.794622890868,,,,10142.495237111994,12739.903229340029,12503.848870018011,,,,,,,11456.352810516033,,,,,,,11034.383821254014,13536.814117020083
2020-07-21,10435.48359383783,,,,10145.099336687996,12739.531571020028,12503.848870018011,,,,,,,11457.149573953591,,,,,,,11034.361666202014,13597.12230424009
2020-07-22,10423.081441467075,,,,10145.070662051996,12739.531571020028,12503.74661453201,,,,,,,11464.825007884034,,,,,,,11034.336504692013,13611.187038080088
2020-07-23,10410.779627872651,,,,10145.070662051996,12738.885208620028,12503.49777394601,,,,,,,11464.825007884034,,,,,,,11034.288139414013,13619.788968960087
2020-07-24,10530.26718857001,,,,10145.070662051996,12785.399401780029,12516.70558921001,,,,,,,11469.59547081803,,,,,,,11042.020449434014,13625.893331040088
2020-07-25,10549.844731000008,,,,10147.711751261995,12785.323908180028,12516.67565144201,,,,,,,11469.547405452031,,,,,,,11041.998260546014,13625.858176200087
2020-07-26,10554.057111748009,,,,10153.801457823994,12805.481845300026,12529.690310694012,,,,,,,11498.793877592034,,,,,,,11057.676937394011,13634.715460780088
2020-07-27,10570.848245156007,,,,10156.410902843996,12830.436597900029,12556.051604104006,,,,,,,11538.982222650042,,,,,,,11071.20411217601,13649.640458240083
2020-07-28,10575.075553298007,,,,10159.021756979995,12834.425081720028,12562.773848136008,,,,,,,11569.796318780029,,,,,,,11072.516978492009,13663.190455140082
2020-07-29,10575.075553298007,,,,10161.639077125996,12903.411923980027,12570.527273440008,,,,,10007.909169350003,,11578.878863050026,,,,,,,11072.322849564009,13671.47851892008
2020-07-30,10683.278560278011,,,,10161.610378053996,12904.753617580029,12572.595572800008,,,,,10011.074008996004,,11595.82102323803,,,,,,,11111.558587218007,13674.213361060078
2020-07-31,10703.092556148013,,,,10170.343926461997,12904.567973500029,12581.857870892009,,,,,10017.402693502003,,11606.275662318032,,,,,,,11112.856331568006,13679.212509040077
