date,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2020-02-10,,10448.279322571998,,,,,,,10065.669121876002,,,,10003.215022459997,,,,,,,,,,,,10230.219701179996,11039.771630549933,,,,,,,,,,,,,10947.951568690003,10886.521028556,,,,,,,,,,,,,,,12239.657638654035,,,,11233.781916917991,10103.043067059996,,
2020-02-11,,10456.538716291998,,,,,,,10079.878681500006,,,,10020.267763062,,,,,,,,,,,,10232.510395099998,11045.656898565925,,,,,,,,,,,,,10952.040265006004,10898.722758482001,,,,,,,,,,,,,,,12276.862015458015,,,,11245.08205310999,10115.231037059993,,
2020-02-12,,10464.205240771997,,,,,,,10109.291139238,,,,10035.177137516004,,,,,,,,,,,,10239.232039939996,11053.845300909925,,,,,,,,,,,,,10976.483240134003,10905.936040712,,,,,,,,,,,,,,,12276.862015458015,,,,11250.15026569399,10142.531794179997,,
2020-02-13,,10718.935277337992,,,,,,,10182.885212657997,,,,10142.148998228013,,,,,,,,,,,,10248.280415739995,11131.82887788193,,,,,,,,,,,,,11280.431719874,11256.80812054,,,,,,,,,,,,,,,12721.51172259562,,,,11411.164885111986,10369.024335799988,,
2020-02-14,,10754.428933937992,,,,,,,10208.412541641997,,,,10156.685157666008,,,,,,,,,,,,10254.993679299994,11146.866787619914,,,,,,,,,,,,,11300.304312959996,11288.586727099997,,,,,,,,,,,,,,,12741.168385514009,,,,11508.094177685987,10387.248087319986,,
2020-02-15,,10754.390239792001,,,,,,,10320.161192039997,,,,10265.99392213601,,,,,,,,,,,,10254.930702699994,11242.904504963906,,,,,,,,,,,,,11564.731262507987,11335.823410913998,,,,,,,,,,,,,,,13606.795676262185,10245.144423535605,,,11937.05677457,10629.575233979995,,
2020-02-16,,11139.958477865994,,,,,,,10462.895963731993,,,,10354.001609828001,,,,,,,,,,,,10342.538954959997,11418.889373441909,,,,,,,,,,,,,12020.970965555993,11580.386648550008,,,,,,,,,,,,,,,14200.205200245286,10439.060783786608,,,12475.054498213996,10892.216370839995,,
2020-02-17,,11369.065362757994,,,,,,,10590.490032855994,,,,10407.246884860011,,,,,,,,,,,,10366.02197942,11719.259362413915,,,,,,,,,,,,,12657.544800165982,11660.023711282007,,,,,,,,,,,,,,,14747.793260494482,10625.218488197408,,,12672.574470965998,11182.388285240006,,
2020-02-18,,11425.303996021994,,,,,,,10657.219870227997,,,,10440.422773492013,,,,,,,,,,,,10375.1271585,11744.654088407917,,,,,,,,,,,,,12712.595642009983,11694.024347794004,,,,,,,,,,,,,,,14993.473580818032,10643.821677800808,,,12744.358763837998,11199.354225280007,,
2020-02-19,,11696.48920225599,,,,,,,10674.189084024,,,,10504.319153460008,,,,,,,,,,,,10477.161036039995,11794.036345575914,,,,,,,,,,,,,12848.398645992766,11828.07980728201,,,,,,,,,,,,,,,15063.81604556599,10833.583474136602,,,12959.738908655996,11526.432646520007,,
2020-02-20,,11847.606579791991,,,,,,,10863.702334478012,,,,10532.863613942009,,,,,,,,,,,,10505.189772999995,11835.46315423793,,,,,,,,,,,,,13215.736873519976,11977.671646656016,,,,,,,,,,,,,,,15063.81604556599,10867.113073325601,,,13158.295867743995,11701.473135319999,,
2020-02-21,,11857.18777707199,,,,,,,10894.803727312012,,,,10551.905779306004,,,,,,,,,,,,10509.834621099993,11848.102918081933,,,,,,,,,,,,,13248.615580065976,12024.318471036018,,,,,,,,,,,,,,,15040.377511291685,10867.056229761201,,,13189.264842165998,11764.955199219998,,
2020-02-22,,11896.573771791987,,,,,,,10950.039436092015,,,,10559.703615944003,,,,,,,,,,,,10519.140170999992,11863.956387731938,,,,,,,,,,,,,13295.183982517978,12057.677530258017,,,,,,,,,,,,,,,15022.617711667364,10881.388213817403,,,13201.239500903996,11859.607792700002,,
2020-02-23,,11896.573771791987,,,,,,,10981.887252610013,,,,10566.441156718005,,,,,,,,,,,,10519.140170999992,11872.341456327933,,,,,,,,,,,,,13305.051961589978,12064.380962422018,,,,,,,,,,,,,,,15126.799572747846,10881.388213817403,,,13219.355912409996,11873.444939500001,,
2020-02-24,,11956.097468931986,,,,,,,11185.881350827243,,,,10598.644261330002,,,,,,,,,,,,10530.934302159993,11895.238036533938,,,,,,,,,,,,,13542.942178209974,12135.684587394018,,,,,,,,,,,,,,,15143.354395431003,10910.424348397004,,,13312.251341211995,12074.832851060004,,
2020-02-25,,12019.452058031986,,,,,,,11279.886695174011,,,,10641.071994063996,,,,,,,,,,,,10554.173455239988,11907.821958393939,,,,,,,,,,,,,13898.080040301975,12185.272562650021,,,,,,,,,,,,,,,15120.310645355854,11096.808233948203,,,13451.748877923996,12280.129142620008,,
2020-02-26,,12018.962542851987,,,,,,,11484.957690390009,,,,10788.426861221986,,,,,,,,,,,,10602.557686719989,12047.559958147936,,,,,,,,,,,,,14218.62885411998,12328.69919740002,,,,,,,,,,,,,,,15120.310645355854,11470.798803233398,,,13901.980701108,12470.385217440007,,
2020-02-27,,11490.138252394707,,,,,,,11619.731126432,,,,10829.79413785998,,,,,,,,,,,,10618.92410219999,12093.55079660595,,,,,,,,,,,,,14340.755428555975,12476.366426696022,,,,,,,,,,,,,,,15052.978649143262,11598.674415884792,,,13952.898591656,12651.437382880005,,
2020-02-28,,11051.709943166194,,,,,,,11774.141943711995,,,,10899.135761681982,,,,,,,,,,,,10643.094210979993,12138.206602941966,,,,,,,,,,,,,14490.203462021971,12615.38325637602,,,,,,,,,,,,,,,14981.791697655839,11681.386110822594,,,14050.344504056004,12830.210651980002,,
2020-02-29,,10635.48180869398,,,,,,,11791.463986187995,,,,10925.30799162999,,,,,,,,,,,,10652.49181083999,12145.406674795968,,,,,,,,,,,,,14506.29653889597,12622.423775256022,,,,,,,,,,,,,,,14912.041059724075,11688.318539818794,,,14056.716873574005,12858.715501999997,,
2020-03-01,,10662.72427271398,,,,,,,11892.320154239995,,,,10975.25280599399,,,,,,,,,,,,10661.886523119994,12158.020435399967,,,,,,,,,,,,,14832.552939957968,12694.040046324017,,,,,,,,,,,,,,,14839.542651478558,11700.300973391593,,,14093.332982574007,12947.439754,,
2020-03-02,,10692.305925913979,,,,,,,11914.561146003998,,,,10987.159614307993,,,,,,,,,,,,10664.233794039996,12160.962510751964,,,,,,,,,,,,,14838.087532607968,12701.263474380015,,,,,,,,,,,,,,,14785.579265380478,11749.22469894139,,,14124.52360771201,12976.702318040005,,
2020-03-03,,10715.65846351398,,,,,,,11962.879111519993,,,,10996.944106455994,,,,,,,,,,,,10671.351972079994,12175.575555713966,,,,,,,,,,,,,14854.454069889971,12781.063330330018,,,,,,,,,,,,,,,14726.983564391774,11759.693601480589,,,14124.39766545601,13009.482926260005,,
2020-03-04,,10723.33329799398,,,,,,,11984.173081605992,,,,11008.417806239993,,,,,,,,,,,,10671.351972079994,12214.611307319969,,,,,,,,,,,,,14884.370193189972,12788.319341560018,,,,,,,,,,,,,,,14669.439017305705,11759.693601480589,,,14152.855534270011,13027.834270420006,,
2020-03-05,,10731.03013191398,,,,,,,12014.819314833992,,,,11023.255535697988,,,,,,,,,,,,10673.732035999994,12221.925456769974,,,,,,,,,,,,,14912.032676769975,12802.739181696019,,,,,,,,,,,,,,,14629.322916074841,11759.63208870059,,,14152.72934207201,13036.993531620006,,
2020-03-06,,10731.03013191398,,,,,,,12067.456217833993,,,,11037.028391571994,,,,,,,,,,,,10680.917980719996,12239.128053975975,,,,,,,,,,,,,14949.454909171976,12816.991681556021,,,,,,,,,,,,,,,14588.02895643354,11768.24231726759,,,14165.965425758011,13073.258616560008,,
2020-03-07,,10843.895212713984,,,,,,,12129.474980469995,,,,11100.632569023996,,,,,,,,,,,,10688.054380979996,12248.954054823977,,,,,,,,,,,,,15028.918471261979,12824.285260372022,,,,,,,,,,,,,,,14588.02895643354,11882.035532168191,,,14165.839112900012,13122.059303660004,,
2020-03-08,,10843.453669413984,,,,,,,12284.351825721998,,,,11182.11811248999,,,,,,,,,,,,10691.022110623831,12416.516229781964,,,,,,,,,,,,,15700.936563491985,12823.161173128023,,,,,,,,,,,,,,,14588.02895643354,12363.194919269587,,,14165.364974288013,13525.59736828001,,
2020-03-09,,10751.394516130087,,,,,,,12462.103876382,,,,11291.192089255994,,,,,,,,,,,,10689.940850403831,12497.505666205963,,,,,,,,,,,,,16396.559079835988,12563.730650490566,,,,,,,,,,,,,,,14480.440911197962,12827.790664328983,,,14022.427652165063,13860.313954980009,,
2020-03-10,,9976.848533996494,,,,,,,12541.361047139997,,,,11337.65382323399,,,,,,,,,,,,10789.046030799998,12511.67105472596,,,,,,,,,,,,,16455.80518782399,12563.505685126567,,,,,,,,,,,,,,,14376.771504590519,12848.586775565385,,,13609.90824165162,13892.83489824001,,
2020-03-11,,9089.386790723967,,,,,,,12743.563849602,,,,11380.035767191983,,,,,,,,,,,,10799.180328839999,12565.028489447968,,,,,,,,,,,,,16779.67134308,12006.22994432759,,,,,,,,,,,,,,,14267.267729824312,13302.251366403187,,,12593.612859768005,14049.179690620014,,
2020-03-12,,9089.276610363968,,,,,,,12816.271154785798,,,,12252.64111118197,,,,,,,,,,,,11251.21646211999,14003.361472929959,,,,,,,,,,,,,17848.36736506003,11776.799886646624,,,,,,,,,,,,,,,0.01,13579.41022235159,,,12999.100869655998,16841.36659887999,,
2020-03-13,,0.01,,,,,,,0.01,,,,14171.503760045964,,,,,,,,,,,,11705.995825719983,14863.746855423931,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,12633.700963221212,21032.15866759994,,
2020-03-14,,0.01,,,,,,,0.01,,,,14303.647601329963,,,,,,,,,,,,11727.482169539979,14909.822440893935,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,11693.821063460084,21362.41468261994,,
2020-03-15,,0.01,,,,,,,0.01,,,,14449.750248239967,,,,,,,,,,,,11751.686596219977,14931.767210525932,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,10081.569115255495,21796.192463799955,,
2020-03-16,,0.01,,,,,,,0.01,,,,14599.680629943972,,,,,,,,,,,,11831.964357399977,15199.600641093926,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,10375.757252956002,23135.54020881995,,
2020-03-17,,0.01,,,,,,,0.01,,,,14734.736869341963,,,,,,,,,,,,11840.051301779977,15265.72266109392,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,10415.644623380002,23301.746469739956,,
2020-03-18,,0.01,,,,,,,0.01,,,,14807.774768569963,,,,,,,,,,,,11866.757943659977,15313.19644889792,,,,,,,,,,,,,0.01,11776.799886646624,,,,,,,,,,,,,,,0.01,0.01,,,10490.548676494,23584.19152359994,,
