date,ALGOUSDT,ALPHAUSDT,APEUSDT,AVAXUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,DOTUSDT,EGLDUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,GRTUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MATICUSDT,NEARUSDT,OMGUSDT,ONEUSDT,RNDRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,TRXUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZILUSDT
2020-04-01,,,,,10803.849237198028,,,,,,,11900.633488620027,11828.378656528012,,,,,,,,,11045.80223120804,,,,,,,,,,10811.552599066,,10718.50272254402,12523.225121980087,
2020-04-02,,,,,10869.188638522024,,,,,,,11944.930084800026,11845.980768896014,,,,,,,,,11067.062073726034,,,,,,,,,,10835.394113612,,10734.893151968019,12570.381154420078,
2020-04-03,,,,,10875.326547650024,,,,,,,11954.853620380025,11847.952005436013,,,,,,,,,11071.986707098034,,,,,,,,,,10836.959982836,,10735.769891918018,12584.835013380081,
2020-04-04,,,,,10885.528847346022,,,,,,,11963.425158520027,11848.926714094012,,,,,,,,,11076.712710976037,,,,,,,,,,10840.651069473999,,10737.048844058017,12588.74743658008,
2020-04-05,,,,,10887.932880606018,,,,,,,11967.716124620027,11851.923446302011,,,,,,,,,11079.080035380039,,,,,,,,,,10848.111049201998,,10737.478454148017,12588.74743658008,
2020-04-06,,,,,10892.00828222602,,,,,,,11967.645413660028,11851.826507038011,,,,,,,,,11093.73352096804,,,,,,,,,,10848.078197575998,,10737.456917832018,12649.12384464008,
2020-04-07,,,,,10955.075066082018,,,,,,,11949.342576023088,11916.449018282017,,,,,,,,,11110.005932854034,,,,,,,,,,10883.504046978,,10788.374545142016,12738.565688640085,
2020-04-08,,,,,10962.919732902017,,,,,,,11917.595205818265,11933.199930306015,,,,,,,,,11123.283380242032,,,,,,,,,,10885.633953597999,,10792.558925540014,12765.536876980083,
2020-04-09,,,,,10965.417164542017,,,,,,,11863.727115453907,11938.164420446015,,,,,,,,,11128.124359100028,,,,,,,,,,10888.286852357998,,10794.266549502014,12804.475773940085,
2020-04-10,,,,,10965.770090542019,,,,,,,11896.442381520028,11942.556137592015,,,,,,,,,11132.996357688025,,,,,,,,,,10894.593640784002,,10799.672776272013,12823.798574820088,
2020-04-11,,,,,10966.774868702021,,,,,,,11900.14446676003,11945.568130654015,,,,,,,,,11137.571563654028,,,,,,,,,,10898.874711544002,,10801.459000756011,12839.04529080009,
2020-04-12,,,,,10981.859510302022,,,,,,,11908.851553400029,11949.962621952014,,,,,,,,,11142.210003454025,,,,,,,,,,10904.545998254003,,10803.29639831001,12861.83328650009,
2020-04-13,,,,,10996.540930986019,,,,,,,11912.63234684003,11953.979748408014,,,,,,,,,11146.377247222026,,,,,,,,,,10909.884688178006,,10805.925272282011,12867.086344720095,
2020-04-14,,,,,11064.683128696017,,,,,,,11915.731869700028,11953.881982168014,,,,,,,,,11149.496423476026,,,,,,,,,,10913.084597328008,,10807.25440911001,12871.013853760096,
2020-04-15,,,,,11065.35264047602,,,,,,,11926.71821454003,11959.413475350013,,,,,,,,,11152.453706672033,,,,,,,,,,10914.10998862401,,10809.364467568012,12874.277029320097,
2020-04-16,,,,,11071.718445414024,,,,,,,12019.931679940031,11959.384865782013,,,,,,,,,11152.439780660034,,,,,,,,,,10915.157219488012,,10825.127586740015,12875.607510822761,
2020-04-17,,,,,11075.66898611403,,,,,,,12023.739070420032,11959.384865782013,,,,,,,,,11152.439780660034,,,,,,,,,,10937.706864642014,,10825.993086908013,12855.983405711302,
2020-04-18,,,,,11085.85952162203,,,,,,,12026.742199180031,11957.021654932014,,,,,,,,,11152.439780660034,,,,,,,,,,10937.673714426013,,10825.971277592012,12765.074434448266,
2020-04-19,,,,,11087.68476222203,,,,,,,12039.073996560031,12020.301468210022,,,,,,,,,11152.439780660034,,,,,,,,,,10943.645850098017,,10828.768665158015,12627.08176251607,
2020-04-20,,,,,11088.73536172203,,,,,,,12044.587773040032,12025.298292124018,,,,,,,,,11161.607301486034,,,,,,,,,,10947.948170690017,,10832.188110748011,12370.165368687809,
2020-04-21,,,,,11089.088002122031,,,,,,,12048.412844380031,12028.309088386017,,,,,,,,,11166.641619110034,,,,,,,,,,10949.000000590015,,10832.166362650012,12282.5213952401,
2020-04-22,,,,,11089.440659322032,,,,,,,12048.341704380031,12029.304360466016,,,,,,,,,11166.854589510034,,,,,,,,,,10948.955831722014,,10832.155478040013,12282.489763840102,
2020-04-23,,,,,11101.951948382028,,,,,,,12090.29946028003,12044.219143604016,,,,,,,,,11180.429754552033,,,,,,,,,,10948.889525000011,,10847.546579274012,12405.317538720108,
2020-04-24,,,,,11103.338748146027,,,,,,,12094.62571820003,12048.244124816016,,,,,,,,,11189.434608838033,,,,,,,,,,10948.355087976011,,10848.414981240014,12456.049543820118,
2020-04-25,,,,,11106.01270050603,,,,,,,12104.701555140029,12052.709267294014,,,,,,,,,11196.218857196038,,,,,,,,,,11001.417636030013,,10849.282718252014,12491.80864408012,
2020-04-26,,,,,11107.063205926028,,,,,,,12109.00362150003,12067.588697340014,,,,,,,,,11198.859379188036,,,,,,,,,,11002.977266034015,,10849.712249372013,12496.930783440117,
2020-04-27,,,,,11108.479673046028,,,,,,,12121.565725860028,12069.594931064015,,,,,,,,,11203.417064034029,,,,,,,,,,11005.645727002013,,10849.690444696014,12500.638984140116,
2020-04-28,,,,,11108.479673046028,,,,,,,12122.807989860028,12071.583927472017,,,,,,,,,11208.029826468026,,,,,,,,,,11005.612407736013,,10849.679456920014,12535.292699880112,
2020-04-29,,,,,11124.49761588603,,,,,,,12181.19680805778,12136.459598834013,,,,,,,,,11207.491160610025,,,,,,,,,,11005.481644366011,,10848.595274802017,12559.156749020116,
2020-04-30,,,,,11135.32578210603,,,,,,,12274.340282000028,12143.904310718013,,,,,,,,,11221.244472314016,,,,,,,,,,11068.10343631001,,10887.79735947402,12574.932673160114,
2020-05-01,,,,,11142.75370271603,,,,,,,12278.730139700028,12143.875262738013,,,,,,,,,11224.875579868014,,,,,,,,,,11076.388400196009,,10890.910019694018,12590.200666340113,
2020-05-02,,,,,11142.75370271603,,,,,,,12278.657554800027,12206.797897912016,,,,,,,,,11225.639193436014,,,,,,,,,,11076.354897968007,,10890.888161478018,12591.474006600114,
2020-05-03,,,,,11144.715016436032,,,,,,,12302.274923540026,12214.280843308015,,,,,,,,,11239.144331652016,,,,,,,,,,11082.405459720005,,10893.589549186021,12596.47524394011,
2020-05-04,,,,,11146.10802295603,,,,,,,12303.577922900027,12230.867651974017,,,,,,,,,11244.589208854015,,,,,,,,,,11084.000949420006,,10894.904708282022,12600.22797460011,
2020-05-05,,,,,11148.384261736028,,,,,,,12306.723207320027,12238.389664632014,,,,,,,,,11248.98879654602,,,,,,,,,,11097.032682122004,,10897.527166854019,12628.96598742011,
2020-05-06,,,,,11150.146757896026,,,,,,,12312.380475160026,12240.420761648013,,,,,,,,,11253.442694616024,,,,,,,,,,11098.678636128003,,10899.27304843802,12633.336066540112,
2020-05-07,,,,,11151.222281376025,,,,,,,12326.352935120025,12248.993173062014,,,,,,,,,11255.391280156022,,,,,,,,,,11100.894674870002,,10899.25114831002,12642.86114642011,
2020-05-08,,,,,11154.210218536025,,,,,,,12333.332537700024,12254.474448588013,,,,,,,,,11263.411021166023,,,,,,,,,,11102.473079352003,,10901.151316978021,12645.373676460109,
2020-05-09,,,,,11156.252076816027,,,,,,,12345.215769820023,12260.585620764012,,,,,,,,,11271.160189464026,,,,,,,,,,11105.094717300002,,10902.901364196021,12659.34969592011,
2020-05-10,,,,,11156.252076816027,,,,,,,12347.797856740022,12263.63535930001,,,,,,,,,11274.717304434029,,,,,,,,,,11110.993662728,,10911.496343014023,12670.091939280108,
2020-05-11,,,,,11160.160957356029,,,,,,,12356.10779472002,12268.17488818001,,,,,,,,,11281.584948096026,,,,,,,,,,11119.642137620001,,10919.813023248025,12688.10235826011,
2020-05-12,,,,,11178.04938530803,,,,,,,12362.21384664002,12271.69628972801,,,,,,,,,11288.142159452027,,,,,,,,,,11147.864410918,,10922.514717732029,12701.39443728011,
2020-05-13,,,,,11182.099634518032,,,,,,,12362.14086272002,12273.742456582011,,,,,,,,,11287.982889342029,,,,,,,,,,11155.035626586005,,10922.492801394028,12701.36166492011,
2020-05-14,,,,,11185.914413600034,,,,,,,12369.692995040019,12277.25556842001,,,,,,,,,11293.686306664029,,,,,,,,,,11157.188510576003,,10924.328153964027,12706.393794780111,
2020-05-15,,,,,11188.142934520038,,,,,,,12395.294446560021,12291.08797124201,,,,,,,,,11299.09906008603,,,,,,,,,,11159.930078820003,,10926.114902794028,12709.502473460112,
2020-05-16,,,,,11188.479143200038,,,,,,,12405.376505020024,12294.598606092011,,,,,,,,,11303.785135904032,,,,,,,,,,11159.930078820003,,10926.092934434027,12709.469734280112,
2020-05-17,,,,,11188.453473940037,,,,,,,12409.777907340023,12296.63983038201,,,,,,,,,11308.021327252032,,,,,,,,,,11159.930078820003,,10926.081957936027,12742.572485920107,
2020-05-18,,,,,11196.322664780038,,,,,,,12421.209245460024,12297.656769492009,,,,,,,,,11317.886415044035,,,,,,,,,,11163.806711836005,,10928.745933974027,12748.076538600108,
2020-05-19,,,,,11200.978022900039,,,,,,,12423.834817300025,12300.72616523001,,,,,,,,,11323.558827594037,,,,,,,,,,11163.773000504007,,10928.745933974027,12750.618907860107,
2020-05-20,,,,,11202.557119776038,,,,,,,12425.157152020025,12302.76394197201,,,,,,,,,11326.477657718036,,,,,,,,,,11167.008736476007,,10929.630650324028,12776.195008900107,
2020-05-21,,,,,11202.911492576037,,,,,,,12429.002057900027,12304.807406052008,,,,,,,,,11328.742371280037,,,,,,,,,,11172.023680172008,,10931.79534656603,12783.29132222011,
2020-05-22,,,,,11205.286468336037,,,,,,,12428.971898940026,12316.559765236008,,,,,,,,,11329.183898272036,,,,,,,,,,11171.989894410008,,10931.76237806803,12818.52889436011,
2020-05-23,,,,,11205.647817976038,,,,,,,12447.814889420028,12320.64487915801,,,,,,,,,11329.183898272036,,,,,,,,,,11203.951640046009,,10931.76237806803,12819.79960492011,
2020-05-24,,,,,11207.81156615604,,,,,,,12450.420017840028,12325.15204535001,,,,,,,,,11332.906367520034,,,,,,,,,,11206.706598560011,,10936.512923200027,12824.918618640113,
2020-05-25,,,,,11208.550295156041,,,,,,,12450.389823600028,12330.69960010401,,,,,,,,,11335.030058690032,,,,,,,,,,11207.23632508801,,10936.944039204029,12824.902129800113,
2020-05-26,,,,,11209.291005236042,,,,,,,12453.012996220026,12334.80936520801,,,,,,,,,11336.678024794035,,,,,,,,,,11209.476730240009,,10938.250819870029,12828.302037200116,
2020-05-27,,,,,11209.265278776042,,,,,,,12452.939443240026,12334.80936520801,,,,,,,,,11336.630536982035,,,,,,,,,,11211.647657618008,,10938.22887329203,12828.269005160115,
2020-05-28,,,,,11209.244404056042,,,,,,,12452.833845160027,12334.80936520801,,,,,,,,,11336.133130418035,,,,,,,,,,11211.625076234008,,10938.22887329203,12828.252433160114,
2020-05-29,,,,,11216.546419896044,,,,,,,12452.576044360027,12347.57460147201,,,,,,,,,11336.133130418035,,,,,,,,,,11214.938171306008,,10940.82547191603,12851.664469000112,
2020-05-30,,,,,11220.614491776045,,,,,,,12451.943889540027,12351.045086974009,,,,,,,,,11336.133130418035,,,,,,,,,,11214.91555542401,,10941.24777924403,12857.509629900107,
