date,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,OMGUSDT,RENUSDT,ROSEUSDT,SANDUSDT,SKLUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,WOOUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2020-12-14,11494.257669200028,14403.812590800033,,,20467.8550560579,,10554.465469033988,13545.358688112117,,,11817.223453152594,,13639.988429319996,10953.303821350184,12101.713678220069,11071.675761599981,10988.402236606813,,14846.615586620037,13923.002669292013,,,,,12800.204893160031,11298.448315360032,13401.809708969999,16748.051565252048,10997.314173558027,,,10251.425532905998,15920.937307254095,11535.570140233891,16432.135372802106,,20528.80074938003,13815.24071429801,13984.310592100022
2020-12-15,11497.464228800029,14403.726566836032,,,20488.000900007897,,10558.287442233986,13541.592532330003,,,11817.223453152594,,13680.614332959994,10963.589931961782,12101.538748780069,11138.01498199998,10987.774459126813,,14845.554360820037,13925.303139352012,,,,,12814.801395176031,11302.133857960032,13401.809708969999,16751.440652788053,10997.314173558027,,,10264.717447631998,15883.572319787807,11535.49224509789,16433.456278578105,,20538.14234718003,13835.724556882009,13984.310592100022
2020-12-16,11503.309752800033,14432.676494594032,,,20528.162860879896,,10596.269911969983,13570.997680980117,,,11817.223453152594,,13686.740436519993,10963.950839321782,12124.78226640007,11189.616318839982,10987.774459126813,,14931.891212959381,13926.452481040013,,,,,12818.85583345803,11402.382520760031,13443.076390659999,16761.611051554053,10997.256963976026,,,10275.761184504,15800.810552548737,11545.342343587892,16480.071437628107,,20544.35038096003,13917.04795246601,13984.310592100022
2020-12-17,11506.532329160033,14472.764704388035,,,20563.7484081699,,10605.291425369982,13578.366491740118,,,11815.803769314594,,13728.396892719995,11043.535350403778,12150.584108640069,11221.317215679983,11051.00422650005,,15011.726117620043,13946.058006324012,,,,,12829.45980010603,11431.71806916003,13644.943786918002,16806.849767918047,11017.093237018027,,,10286.801546208,15689.166019068995,11552.560120931892,16502.72466495011,,20644.119130560026,13955.329070422009,14110.149108814017
2020-12-18,11508.127237160033,14495.743363467283,,,20567.386171011898,,10627.98187352998,13580.780683818119,,,11981.925784664005,,13737.263098639996,11059.659411809977,12169.957192820068,11297.357094359977,11071.02760825605,,15014.793985220042,13951.873032054013,,,,,12833.532989482028,11445.115395340032,13765.517364906005,16810.249697346047,11021.044382634027,,,10309.850535088,15425.431836196647,11553.697953271894,16504.775003210114,,20656.629960520026,14048.71454780601,14121.228143192016
2020-12-19,11527.079769800037,14685.14429224003,,,20573.033756091892,,10649.302614361972,13610.50943727012,,,11985.006339570005,,13754.978498959998,11068.224609268982,12188.00551678007,11304.31046349998,11082.172358460051,,15018.609105760042,13951.873032054013,,,,,12840.097503288029,11452.025338740032,13854.197699632005,16823.52114907605,11028.97932405803,,,10469.170585749996,15245.891068171513,11553.697953271894,16517.415625806112,,20668.290948780024,14166.251726832006,14121.104660080016
2020-12-20,11531.827890200035,14696.29307119203,,,20585.910112159894,,10655.950031913973,13633.560863000122,,,11991.167742008005,,13763.784237279997,11128.66708444258,12195.368356200073,11307.15309509998,11093.99286483205,,15071.381878460044,13968.679730342013,,,,,12846.188377032027,11458.935374740033,13887.554404854005,16830.327100182047,11036.887608618028,,,10509.621057391994,15128.325314781956,11556.586374403894,16573.154182560123,,20683.993768260025,14224.438648557993,14142.249266224017
2020-12-21,11541.71014380003,14714.93043539003,,,20589.552300249896,,10663.099775785973,13652.29178707412,,,11991.167742008005,,13772.996411979999,11229.038647941383,12229.687476100076,11338.101924299986,11096.358291932049,,15085.423804800044,13978.440125232013,,,,,12846.188377032027,11465.864377340034,13899.050691454007,16840.546200868044,11040.847147674027,,,10517.168836893996,14869.438909548331,11557.156187731895,16578.523693850133,,20687.166193860026,14398.309411923992,14142.249266224017
2020-12-22,11547.602327400029,14726.176716304031,,,20612.873209995894,,10664.059224185972,13686.06508324613,,,11991.133870136005,,13779.16914568,11247.951457782981,12240.189104440076,11349.233648519985,11103.40536473205,,15086.994122560045,13981.912282832012,,,,,12850.255549800026,11467.481040740036,13912.254402626008,16854.178818664044,11048.775012378028,,,10524.969256749997,14885.983829819872,11557.728820675895,16579.849949126132,,20696.608550720026,14505.676609952,14152.163597950017
2020-12-23,11549.243860140028,14741.04561466803,,,20622.006951863892,,10676.047269785966,13716.334646476127,,,11994.250068152005,,13785.382847079998,11264.334010415578,12275.92716880008,11352.044468119986,11129.458890516049,,15090.165978200046,13987.738113340012,,,,,12852.291577256025,11521.275043140035,13942.86148930401,16881.148012408048,11066.265178080028,,,10524.969256749997,14963.664211399875,11558.877028987896,16580.517019782135,,20699.818047420024,14750.014886768002,14157.109453810017
